Problem A:
Objective: 70
02 20 44 NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL 03 30 NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL 22 NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
-----------------------------
Problem B:
Objective: 60
02 NIL 04 NIL 06 NIL 08 NIL 10 NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL 03 NIL 05 NIL 07 NIL 09 NIL 11
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
-----------------------------
Problem C:
Objective: 270
01 12 03 23 NIL 88 NIL NIL NIL NIL
21 45 43 NIL NIL NIL NIL NIL NIL NIL
NIL 56 NIL 78 NIL NIL NIL NIL NIL NIL
89 NIL 99 54 NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
-----------------------------
Problem D:
Objective: 600
98 97 96 95 94 93 92 91 90 89
01 02 03 04 05 55 06 07 08 09
NIL 66 NIL NIL NIL NIL NIL NIL NIL 11
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL 22 NIL NIL NIL NIL NIL 33 NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL 88 NIL NIL NIL 44 NIL NIL
NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL
NIL NIL NIL NIL 77 NIL NIL NIL NIL NIL
NIL NIL NIL NIL NIL NIL 99 NIL NIL NIL
-----------------------------
Problem E:
Objective: 300
NIL 05 NIL NIL NIL 15 NIL NIL NIL 25
NIL NIL NIL 06 NIL NIL NIL 16 NIL NIL
NIL 04 NIL NIL NIL 14 NIL NIL NIL 24
NIL NIL NIL 07 NIL NIL NIL 17 NIL NIL
NIL 03 NIL NIL NIL 13 NIL NIL NIL 23
NIL NIL NIL 08 NIL NIL NIL 18 NIL NIL
NIL 02 NIL NIL NIL 12 NIL NIL NIL 22
NIL NIL NIL 09 NIL NIL NIL 19 NIL NIL
NIL 01 NIL NIL NIL 11 NIL NIL NIL 21
NIL NIL NIL 10 NIL NIL NIL 20 NIL NIL
-----------------------------
Problem F:
Objective: 2000
99 01 NIL NIL 13 41 NIL NIL NIL 14
42 NIL 88 NIL NIL NIL 31 NIL NIL NIL
NIL 98 NIL NIL NIL 21 NIL 56 NIL 12
NIL NIL 79 NIL NIL NIL NIL 02 NIL 20
97 82 89 NIL NIL NIL NIL NIL NIL NIL
NIL NIL 80 49 NIL NIL NIL NIL NIL NIL
81 96 83 74 77 39 NIL 90 71 NIL
84 75 94 69 86 73 92 NIL NIL NIL
95 NIL 85 76 93 NIL 87 72 91 NIL
NIL NIL 59 NIL NIL 29 NIL NIL NIL 10
-----------------------------
Problem G:
Objective: ???
random
-----------------------------
